id,name,normalized_name,gender,Simpson_fam
4231,Mr. Muntz,mr muntz,m,FALSE
4232,News Crew Member #1,news crew member 1,u,FALSE
4233,News Crew Member #2,news crew member 2,u,FALSE
4235,Bob Dylan,bob dylan,m,FALSE
4236,Teenage Moe,teenage moe,f,FALSE
4237,Lisa's Reflection,lisas reflection,f,TRUE
4238,Hard-bitten Man,hard-bitten man,m,FALSE
4239,Conf. Delegate,conf delegate,u,FALSE
4240,Man Caught In Lava,man caught in lava,m,FALSE
4241,SPONGE BOB,sponge bob,m,FALSE
4242,Sgt. Activity,sgt activity,u,FALSE
4243,Lt. Adventure,lt adventure,u,FALSE
4244,Exhibitor #1,exhibitor 1,u,FALSE
4245,Exhibitor #3,exhibitor 3,u,FALSE
4246,Retailers,retailers,u,FALSE
4248,Chum,chum,m,FALSE
4249,Homer's Muzzle,homers muzzle,m,TRUE
4250,Employment Counselor,employment counselor,u,FALSE
4251,Border Agent,border agent,u,FALSE
4252,Canadians,canadians,u,FALSE
4253,Pharmacist,pharmacist,u,FALSE
4254,U.S. Border Guard,us border guard,u,FALSE
4255,2nd U.S. Border Guard,2nd us border guard,u,FALSE
4256,Los Jacquitos Leader,los jacquitos leader,u,FALSE
4257,Mountie,mountie,u,FALSE
4258,Canadian Official #1,canadian official 1,u,FALSE
4259,Canadian Official #2,canadian official 2,u,FALSE
4260,Server #1,server 1,u,FALSE
4261,Server #2,server 2,u,FALSE
4262,Health Inspector,health inspector,m,FALSE
4263,New Health Inspector,new health inspector,m,FALSE
4264,Loan Officer,loan officer,u,FALSE
4265,Drunks,drunks,u,FALSE
4266,Three Of Diamonds,three of diamonds,u,FALSE
4267,Five Of Diamonds,five of diamonds,u,FALSE
4268,Jack Of Clubs,jack of clubs,u,FALSE
4269,Eight Of Clubs,eight of clubs,u,FALSE
4204,Eliza,eliza,f,FALSE
4169,10-Year-Old Homer,10-year-old homer,m,TRUE
4185,Nash Castor,nash castor,m,FALSE
4203,Inspector Wiggum,inspector wiggum,m,FALSE
4247,Goose Gladwell,goose gladwell,m,FALSE
4270,Jack Of Diamonds,jack of diamonds,u,FALSE
4271,SQUEAKY-VOICED TEEN ATTENDANT,squeaky-voiced teen attendant,u,FALSE
4272,Toddler,toddler,u,FALSE
4273,MOE-BIRD,moe-bird,m,FALSE
4274,Moe's Thoughts,moes thoughts,m,FALSE
4275,France,france,u,FALSE
4276,Japan,japan,u,FALSE
4277,Botswana,botswana,u,FALSE
4278,Antarctica,antarctica,u,FALSE
4279,Italian Tour Guide,italian tour guide,u,FALSE
4280,Italian Plumber,italian plumber,u,FALSE
4281,AFRICAN-AMERICAN MAN,african-american man,m,FALSE
4282,Deion Overstreet,deion overstreet,m,FALSE
4283,Grandson,grandson,m,FALSE
4284,Grandfather,grandfather,m,FALSE
4285,Timmy,timmy,m,FALSE
4286,LeBron James,lebron james,m,FALSE
4287,Michelle Kwan,michelle kwan,f,FALSE
4288,Yao Ming,yao ming,m,FALSE
4289,Mr. Burns Logo,mr burns logo,m,FALSE
4290,Captain McCallister's Head,captain mccallisters head,u,FALSE
4291,Espn-style Anchorman #1,espn-style anchorman 1,m,FALSE
4292,Espn-style Anchorman #2,espn-style anchorman 2,m,FALSE
4293,Warren Sapp,warren sapp,m,FALSE
4294,Tom Brady,tom brady,m,FALSE
4295,Huge Man #1,huge man 1,m,FALSE
4296,Commissioner,commissioner,m,FALSE
4297,Texas Owner,texas owner,u,FALSE
4298,Nfl Film-type Announcer,nfl film-type announcer,u,FALSE
4299,Different Man,different man,m,FALSE
4300,Super Bowl Crowd,super bowl crowd,u,FALSE
4301,Game Show Audience,game show audience,u,FALSE
4302,Anchorman,anchorman,m,FALSE
4303,Alcatraaaz,alcatraaaz,u,FALSE
4304,Woman In Crowd,woman in crowd,f,FALSE
4305,50 Cent,50 cent,m,FALSE
4306,FAMILIAR VOICE,familiar voice,u,FALSE
4307,Deputy,deputy,u,FALSE
4308,Bart on Tape,bart on tape,m,TRUE
4309,Tailor,tailor,m,FALSE
4310,Needy Woman,needy woman,f,FALSE
4311,Posse,posse,u,FALSE
4312,HOWELL HUSER,howell huser,m,FALSE
4313,Kitchen Wizard,kitchen wizard,u,FALSE
4314,Calypso Singer,calypso singer,u,FALSE
4315,Calypso Chorus,calypso chorus,u,FALSE
4316,Veronica,veronica,f,FALSE
4317,Homers,homers,m,TRUE
4318,Leslie,leslie,f,FALSE
4319,Ranger Johnson,ranger johnson,m,FALSE
4320,Store Manager,store manager,u,FALSE
4321,Backpack,backpack,u,FALSE
4322,Gary Busey,gary busey,m,FALSE
4323,Dutchwoman,dutchwoman,f,FALSE
4324,Frenchman,frenchman,m,FALSE
4325,SIX-YEAR-OLD-BART,six-year-old-bart,m,TRUE
4326,4-Year-Old Lisa,4-year-old lisa,f,TRUE
4327,Robert Wagner,robert wagner,m,FALSE
4328,Active Woman,active woman,f,FALSE
4329,Mr. Zhao,mr zhao,m,FALSE
4330,Chinese Dragon,chinese dragon,u,FALSE
4331,Red Dragon,red dragon,u,FALSE
4332,Chinese Pilot,chinese pilot,u,FALSE
4333,Chinese Co-pilot,chinese co-pilot,u,FALSE
4334,Functionary,functionary,u,FALSE
4336,Barbarian,barbarian,u,FALSE
4337,2nd Barbarian,2nd barbarian,u,FALSE
4338,Chinese Uncle Ben,chinese uncle ben,m,FALSE
4339,Chinese Willy,chinese willy,m,FALSE
4340,Chinese Announcer,chinese announcer,u,FALSE
4341,Disgruntled Audience Member,disgruntled audience member,u,FALSE
4342,Disgruntled Audience Member #2,disgruntled audience member 2,u,FALSE
4343,Disgruntled Audience Member #3,disgruntled audience member 3,u,FALSE
4344,Chinese Acrobats,chinese acrobats,u,FALSE
4345,Ling,ling,f,FALSE
4346,Chinese Man,chinese man,m,FALSE
4347,Chinese Guard #1,chinese guard 1,u,FALSE
4348,Chinese Guard #2,chinese guard 2,u,FALSE
4349,David Silverman,david silverman,m,FALSE
4350,Muscular Homer,muscular homer,m,TRUE
4351,Brenda,brenda,f,FALSE
4352,Roger,roger,m,FALSE
4353,Fashionable Lady,fashionable lady,f,FALSE
4354,Andrew Jackson,andrew jackson,m,FALSE
4355,New England Rv-er,new england rv-er,u,FALSE
4356,Martha,martha,f,FALSE
4357,Southern Rv-er,southern rv-er,u,FALSE
4358,Jesus,jesus,m,FALSE
4359,Rv-ers,rv-ers,u,FALSE
4360,Square Dance Caller,square dance caller,u,FALSE
4361,Suv Families,suv families,u,FALSE
4362,Turkish Captain,turkish captain,u,FALSE
4363,Turkish Crewman,turkish crewman,m,FALSE
4364,Male Tenor,male tenor,m,FALSE
4365,Springfield Billy,springfield billy,m,FALSE
4366,Female Theatergoer,female theatergoer,f,FALSE
4367,Snobby Older Male Theatergoer,snobby older male theatergoer,m,FALSE
4368,Snobby Theatergoers,snobby theatergoers,u,FALSE
4369,Basketball Player,basketball player,u,FALSE
4370,Oboist,oboist,u,FALSE
4371,Frank Gehry,frank gehry,m,FALSE
5087,ALEPPO,aleppo,m,FALSE
4372,Shelbyvillians,shelbyvillians,u,FALSE
4373,Officer Krackney,officer krackney,m,FALSE
4376,Jenda,jenda,f,FALSE
4378,Teenage Nelson,teenage nelson,m,FALSE
4379,Sherri's Belly,sherris belly,f,FALSE
4380,Terri's Belly,terris belly,f,FALSE
4381,Assistant Principal Kearney,assistant principal kearney,m,FALSE
4382,Teenage Ralph,teenage ralph,m,FALSE
4383,Angry Rainbows,angry rainbows,u,FALSE
4384,Teenage Martin,teenage martin,m,FALSE
4385,Robo-Wiggum,robo-wiggum,m,FALSE
4387,MOE-CLONE,moe-clone,m,FALSE
4388,Uni-clams,uni-clams,u,FALSE
4389,Sad Uni-clam,sad uni-clam,u,FALSE
4390,Spider Moe,spider moe,m,FALSE
4391,Graduates,graduates,u,FALSE
4392,Teenage Sherri,teenage sherri,f,FALSE
4393,50-ish Lisa,50-ish lisa,f,TRUE
4394,50-ish Milhouse,50-ish milhouse,m,FALSE
4395,VICE-PRESIDENT CLETUS,vice-president cletus,m,FALSE
4396,Knockers Waitress,knockers waitress,f,FALSE
4397,President Homer,president homer,m,TRUE
4398,Record,record,u,FALSE
4399,Brooklyn Private,brooklyn private,u,FALSE
4400,Sergeant Skinner,sergeant skinner,m,FALSE
4401,Stapled Soldier,stapled soldier,u,FALSE
4402,Army Men,army men,m,FALSE
4403,Vending Machine,vending machine,u,FALSE
4404,Vending Machine #2,vending machine 2,u,FALSE
4406,German Backpacker,german backpacker,u,FALSE
4407,Female German Backpacker,female german backpacker,u,FALSE
4408,German Student,german student,u,FALSE
4409,Sadistic German Backpacker,sadistic german backpacker,u,FALSE
4410,Clarissa Wellington,clarissa wellington,f,FALSE
4411,Cameron Winklevoss,cameron winklevoss,m,FALSE
4412,TEENAGE P.A.,teenage pa,u,FALSE
4413,Bored Voice,bored voice,u,FALSE
4414,10-year-old-girl,10-year-old-girl,f,FALSE
4415,Photography Club,photography club,u,FALSE
4416,Buddhist Monk,buddhist monk,u,FALSE
4417,Anguished Woman,anguished woman,f,FALSE
4418,MAN IN DEVIL SUIT,man in devil suit,m,FALSE
4419,Marine Biologist,marine biologist,u,FALSE
4420,Bookstore Clerk,bookstore clerk,u,FALSE
4421,EURO-TRASH VOICE,euro-trash voice,u,FALSE
4422,ARCHANGEL,archangel,u,FALSE
4423,Demon,demon,u,FALSE
4424,Dean Martin,dean martin,m,FALSE
4425,Public Radio Announcer,public radio announcer,u,FALSE
4426,Female Radio Host,female radio host,f,FALSE
4427,Stefan Whitmore,stefan whitmore,m,FALSE
4428,Bohemian-looking Man,bohemian-looking man,m,FALSE
4429,Goat,goat,u,FALSE
4430,Katja,katja,u,FALSE
4431,Vicki,vicki,f,FALSE
4432,Male Crowd,male crowd,m,FALSE
4433,Clay,clay,m,FALSE
4434,Humbleton Passersby,humbleton passersby,u,FALSE
4435,Humbleton Man,humbleton man,m,FALSE
4436,Humbleton Woman,humbleton woman,f,FALSE
4437,Jason Bateman,jason bateman,m,FALSE
4438,Sister Thomasina,sister thomasina,f,FALSE
4440,Sean's Dad,seans dad,m,FALSE
4441,Young Sean,young sean,m,FALSE
4442,St. Sebastian,st sebastian,m,FALSE
4443,Dying Soldier,dying soldier,u,FALSE
4444,Church Women,church women,f,FALSE
4445,Croquet Player #1,croquet player 1,u,FALSE
4446,Croquet Player #2,croquet player 2,u,FALSE
4447,Emcee,emcee,u,FALSE
4448,Pious Riot,pious riot,u,FALSE
4449,Band Member,band member,u,FALSE
4450,Band Members,band members,u,FALSE
4451,1st Leader,1st leader,u,FALSE
4452,2nd Leader,2nd leader,u,FALSE
4453,1st Army,1st army,u,FALSE
4454,2nd Army,2nd army,u,FALSE
4455,Oakland Player,oakland player,u,FALSE
4456,1st Actress,1st actress,f,FALSE
4457,2nd Actress,2nd actress,f,FALSE
4458,Character,character,u,FALSE
4459,SEA CREATURE,sea creature,u,FALSE
4460,Caleb Thorn,caleb thorn,m,FALSE
4461,MANATEE,manatee,u,FALSE
4462,Victor,victor,m,FALSE
4463,Uncle John,uncle john,m,FALSE
4464,Aunt Kathy,aunt kathy,f,FALSE
4465,Randy,randy,m,FALSE
4466,Jet Skier #1,jet skier 1,u,FALSE
4467,Jet Skier #2,jet skier 2,u,FALSE
4468,Jet Skiers,jet skiers,u,FALSE
4469,Vampire Puppet,vampire puppet,u,FALSE
4470,Frederick Ives Hologram,frederick ives hologram,m,FALSE
4471,Katherine Blodgett Hologram,katherine blodgett hologram,f,FALSE
4472,Alexander Graham Bell Hologram,alexander graham bell hologram,m,FALSE
4473,Elisha Gray Hologram,elisha gray hologram,f,FALSE
4405,Tab Spangler,tab spangler,m,FALSE
4439,Father Sean,father sean,m,FALSE
4386,Bender,bender,m,FALSE
4474,Museum Head,museum head,u,FALSE
4475,SHADOWY CREATURE,shadowy creature,u,FALSE
4476,Plant Monster,plant monster,u,FALSE
4477,Pane Of Glass,pane of glass,u,FALSE
4478,Shrimp Monster,shrimp monster,u,FALSE
4479,Milton Burkhart,milton burkhart,m,FALSE
4480,Gravedigger Billy,gravedigger billy,m,FALSE
4481,Cowboy In Black,cowboy in black,m,FALSE
4482,Ben Cartwright,ben cartwright,m,FALSE
4483,Child Therapist,child therapist,u,FALSE
4484,2-Year-Old Bart,2-year-old bart,m,TRUE
4485,Grandmotherly Woman,grandmotherly woman,f,FALSE
4486,Bart Spider,bart spider,m,TRUE
4487,Milhouse Slug,milhouse slug,m,FALSE
4488,Wild Beast #1,wild beast 1,u,FALSE
4489,Wild Beast #2,wild beast 2,u,FALSE
4490,Wild Beast #3,wild beast 3,u,FALSE
4491,WILD BEASTS,wild beasts,u,FALSE
4492,Emotional Woman,emotional woman,f,FALSE
4493,Amer-asian Girl,amer-asian girl,f,FALSE
