char_id,name,normalized_name,gender,Simpson_fam
508,Host,host,m,False
509,Psychiatrist,psychiatrist,u,False
510,Orderly,orderly,u,False
511,MICHAEL,michael,m,False
512,Floyd,floyd,m,False
513,Bart's Head,barts head,m,True
514,Wiseguy,wiseguy,m,False
515,Voice On Phone,voice on phone,u,False
516,Doctor,doctor,m,False
517,Dave,dave,m,False
518,Snake Jailbird,snake jailbird,m,False
519,Leon Kompowsky,leon kompowsky,m,False
520,Minnesota Girl,minnesota girl,f,False
521,Alabama Boy,alabama boy,m,False
522,QUEENS BOY,queens boy,m,False
523,Female Judge,female judge,f,False
524,Dad,dad,m,False
525,Flight Attendant,flight attendant,u,False
526,Pilot,pilot,m,False
527,Irs Man,irs man,m,False
528,Hotel Guest,hotel guest,u,False
529,Miss Crowley,miss crowley,f,False
530,Truong/maria,truongmaria,u,False
531,TRUONG,truong,m,False
532,MARIA,maria,f,False
533,BARBARA,barbara,f,False
534,Worker,worker,u,False
535,Guide,guide,u,False
536,Lobbyist,lobbyist,u,False
537,Arnold,arnold,m,False
538,Newlywed Wife,newlywed wife,f,False
539,White Trash Woman #1,white trash woman 1,f,False
540,Man #3,man 3,u,False
541,Old Timer,old timer,u,False
542,Guy,guy,m,False
543,Songster,songster,u,False
544,Page,page,u,False
545,Senator,senator,u,False
546,Oil Developer,oil developer,u,False
547,Agent,agent,u,False
548,Speaker,speaker,u,False
549,Majority Leader,majority leader,u,False
550,Everyone Else,everyone else,u,False
551,President,president,m,False
552,Foreign Dignitary,foreign dignitary,u,False
553,Paper Boy,paper boy,m,False
554,Sportscaster #1,sportscaster 1,u,False
555,Girl,girl,f,False
556,Neighborhood Guy,neighborhood guy,m,False
557,Homemaker,homemaker,u,False
558,Landscaper,landscaper,u,False
559,Choreographer,choreographer,u,False
560,George Washington,george washington,m,False
561,Video Voice,video voice,u,False
562,Man Shopper,man shopper,m,False
563,HOMER (CONT'D,homer contd,m,True
564,Collection Agent,collection agent,u,False
565,Wife,wife,f,False
566,Shoppers,shoppers,u,False
567,Executive,executive,m,False
568,Fat Tony,fat tony,m,False
569,Legs,legs,u,False
570,Louie,louie,m,False
571,Race Announcer,race announcer,u,False
572,Jack Larson,jack larson,m,False
573,Fbi Agent #1,fbi agent 1,u,False
574,Fbi Agent #2,fbi agent 2,u,False
575,Rival Gang Leader,rival gang leader,m,False
576,Psychic,psychic,f,False
577,Skinner Body,skinner body,m,False
578,Prosecuting Attorney,prosecuting attorney,u,False
579,Joe,joe,m,False
580,Neil,neil,m,False
581,Calm Woman,calm woman,f,False
582,Mr. Devereaux,mr devereaux,m,False
583,Margarita,margarita,f,False
584,Program Voices,program voices,u,False
585,Instructor,instructor,m,False
586,Female Worker,female worker,f,False
587,Male Worker,male worker,m,False
588,Contestant,contestant,u,False
589,Magic Johnson,magic johnson,m,False
590,Aristotle,aristotle,m,False
591,Luann Van Houten,luann van houten,f,False
592,Thought Bubble Barney,thought bubble barney,m,False
593,Female Voice,female voice,f,False
594,SCOTT,scott,m,False
595,Miss Lois Pennycandy,miss lois pennycandy,f,False
596,Sexy Female Recording,sexy female recording,f,False
597,PENNYCANDY,pennycandy,f,False
598,Rabbi Hyman Krustofsky,rabbi hyman krustofsky,m,False
600,Rabbi #1,rabbi 1,m,False
601,Rowdy Rabbi,rowdy rabbi,m,False
602,Martian,martian,u,False
603,D.J.,dj,m,False
604,Caller,caller,u,False
605,MONSIGNOR DALEY,monsignor daley,m,False
606,Yiddle,yiddle,u,False
607,Rabbi #2,rabbi 2,m,False
608,Waitress,waitress,f,False
609,Stagehand,stagehand,u,False
610,Airport Announcer,airport announcer,u,False
611,Customs Agent,customs agent,u,False
612,Military Cops,military cops,u,False
613,English Diplomat,english diplomat,u,False
614,Argentine Diplomat,argentine diplomat,u,False
615,Colonel,colonel,m,False
616,Female Office Worker,female office worker,f,False
617,Male Office Worker,male office worker,m,False
618,Townspeople,townspeople,u,False
619,Patrons,patrons,u,False
620,Vin Scully,vin scully,m,False
621,Kids In Audience,kids in audience,u,False
622,DR MONROE,dr monroe,m,False
623,Crypt Keeper Willie,crypt keeper willie,m,False
624,Robot,robot,u,False
625,Homer-Ape,homer-ape,m,True
626,Lunchlady Doris,lunchlady doris,f,False
627,Little Man,little man,m,False
628,Teenager,teenager,u,False
630,Baby Lisa,baby lisa,f,True
631,Salesclerk,salesclerk,u,False
